Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
0	-54559.10604972591	-54394.0371880375	-165.06886168840668	18.857630441117863	55.79716574882056	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	200.0	1.0	0.001	1.0	0.25	0.25	0.25	0.25	2.0	6.923900661214511	-5.550961538632818	0.0	-1.0	-1.8653600339742873	-0.6689692629488189	-13.815510557964274	0	-9.615805480084347	2001.1423695588821
10000	-12179.93149870229	-11166.241665079133	-1013.6898336231578	170.90910858241455	1064.9749983265845	18	0	5.631746581777172	21.84125413528155	59.388888888888886	19.866666666666667	357.44444444444446	415.8333333333333	427.0	641.0	4.316018767745201E-5	65.67691555924081	97.03258094919977	0.005012409881496346	0.8364843672901946	0.26160748286381	0.24589128547671332	0.24097528352108083	0.2515259481383958	2.656591608589937	-92.32550714427391	-12.383253767946904	0.0	-0.8364843672901946	-2.11929466918658	-4.188298787502077	-13.815510557964274	0	-9.615805480084347	1849.0908914175855
20000	-10337.401359341373	-9509.871247381683	-827.5301119596899	114.13233836446918	1223.7649256658367	13	0	16.94036236759349	25.181891852038408	126.46153846153847	43.23529411764706	292.61538461538464	418.0769230769231	17.0	734.0	1.2812568332426438E-5	208.35393925594212	139.7460061187961	0.002635430569603788	0.3420245744845479	0.26150019698585697	0.2462039186533595	0.23216911484572547	0.26012676951505803	3.3184976531773795	-11.932891553342367	-5.364424656708602	0.0	-0.3420245744845479	-2.354331884383246	-6.209771978736633	-13.815510557964274	0	-9.615805480084347	1905.8676616355308
30000	-10319.247152533406	-9355.237264362464	-964.009888170941	135.24055977307427	1612.0941456987857	18	0	13.428796784498974	32.97166028046639	151.0	28.26923076923077	229.33333333333334	379.3333333333333	0.0	191.0	1.946690351488121E-5	190.32083447770518	184.25200505589746	0.0021499906078806435	0.2951451345044138	0.26292871347224434	0.23794420655221743	0.2127149425124633	0.28641213746307487	3.3184976531773795	-3.2342897036809077	-5.80199876020949	0.0	-0.2951451345044138	-2.354331884383246	-5.471915999229248	-13.815510557964274	0	-9.615805480084347	1884.7594402269258
40000	-11095.810657285032	-10029.051723016435	-1066.7589342685974	665.9986960573276	3473.101652409556	20	3	37.22887017523074	63.16133915620435	272.55	33.40909090909091	210.55	482.1	162.0	320.0	6.293664059252637E-6	348.6556615876995	310.45932334785783	0.0017760986339563373	0.2951451345044138	0.2785737140795177	0.22339398523041928	0.19987637562805516	0.2981559250620078	3.922717786803542	1.6804979469385026	-6.402926804943359	0.0	-0.2951451345044138	-2.5519167424484435	-7.56409817008625	-13.815510557964274	0	-9.615805480084347	1354.0013039426724
50000	-10329.001581997094	-9280.635693861766	-1048.3658881353285	277.9353073064321	3119.9627727456386	19	1	27.36855361962885	57.93751086878897	167.42105263157896	31.956521739130434	233.78947368421052	400.2105263157895	726.0	335.0	5.531039879412717E-6	242.8996592234331	303.16805868986285	0.0015592937334265784	0.2951451345044138	0.2785737140795177	0.2181820688501538	0.19987637562805516	0.3033678414422733	3.7218186103479654	3.81890775589265	-4.889445869567762	0.0	-0.2951451345044138	-2.487887929973629	-7.823742863546464	-13.815510557964274	0	-9.615805480084347	1742.0646926935678
60000	-11038.249507191524	-9969.463465536266	-1068.786041655258	678.2639249572946	4862.651623802256	18	0	40.69389331803015	81.05187995155794	175.66666666666666	28.26923076923077	188.72222222222223	363.3888888888889	0.0	361.0	5.122004013700069E-6	281.42340903672294	421.3171626106649	0.0012912057991998134	0.31398159352818283	0.27436318991753533	0.2289713366622002	0.17908450125994804	0.3175809721603164	3.816407683459658	5.740948610461622	-4.922754029583767	0.0	-0.31398159352818283	-2.5182335855200364	-7.980160275826442	-13.815510557964274	0	-9.615805480084347	1341.7360750427054
70000	-10613.647512365307	-9453.581002399664	-1160.0665099656428	1412.241878244661	7070.873343890336	20	0	50.74485094604912	83.68093860343889	157.6	25.344827586206897	220.5	377.1	0.0	550.0	6.758441585537144E-6	296.3368274587026	665.0778128318287	9.088649544389739E-4	0.31398159352818283	0.28103666230411845	0.22172378347027347	0.17077518143255274	0.3264643727930553	3.816407683459658	7.1005330140891845	-5.095034544585523	0.0	-0.31398159352818283	-2.5182335855200364	-7.422662951446705	-13.815510557964274	0	-9.615805480084347	607.7581217553391
80000	-10680.568172161979	-9546.071880145644	-1134.496292016334	1231.1152312912748	6728.480098172132	19	3	322.972000314409	164.12176850550307	229.31578947368422	36.75	207.57894736842104	435.89473684210526	4.0	123.0	4.748578821159274E-6	191.54864031894533	715.7868886602737	9.094288176567771E-4	0.31398159352818283	0.283186813293384	0.22624037958779278	0.1592368488094587	0.3313359583093644	3.8610813150679455	7.0997238898810044	-5.768079267069842	0.0	-0.31398159352818283	-2.5324418395512844	-8.135721121197761	-13.815510557964274	0	-9.615805480084347	788.8847687087252
90000	-10346.50587835161	-9168.670309697325	-1177.8355686542848	777.5600164238779	6288.934586872564	20	2	56.089467851774714	134.8892922539216	161.15	26.25	357.65	517.8	336.0	734.0	3.2543670353343083E-6	298.6320024356862	846.4197392554854	9.34549616050579E-4	0.31398159352818283	0.28709738964480686	0.2136388698439414	0.15887381427855216	0.34038992623269954	3.912833428261476	7.060091862206837	-5.129447861070992	0.0	-0.31398159352818283	-2.5488035827213302	-8.93360211090919	-13.815510557964274	0	-9.615805480084347	1242.4399835761221
